พรรคกรีน
นายถิรเดช ธัญทองเพ็ชร
นายราเชน ศิริวงค์นาค
นายชายประจักร์ ศิริพันธุ์
นายพันธวัชร บรรจงศิริเจริญ
นายธีรชัย จุติมงคลกุล
นายวินัย สุทิน
นายวัฒนา สพสมัย
นางณัฐวรรณ์ แป้งเงิน
นายอิศรนนท์ ตระกูลเวียง
พรรคแทนคุณแผ่นดิน
นายวัชรพล บุษมงคล
นายสุวัฒน์ สร้างสกุล
นายพานิช จิตร์แจ้ง
นายวิชัย ศิรินคร
นายบุญธร อุปนันท์
นายชูชาติ พิมพ์กา
นายธกร กันตะวงศ์
นางสาวญาณิศากรณ์ สกุลศุภมณี
พรรคไทยธรรม
นายอโณทัย ดวงดารา
นายอรุณชัย ยะพันธ์ชัย
นายนะโม สุขปราณี
นายภูษิต ภูปภัสศิริ
นางสาวรัตติกาล โสวะภาส
นางสาวนงลักษณ์ สงวนศักดิ์
นางนิภา พิเศษชีพ
นายกิติกร วิชัยเรื่องธรรม
พรรคไทยรักษาชาติ
ร้อยโทปรีชาพล พงษ์พานิช
นายจาตุรนต์ ฉายแสง
นายฤภพ ชินวัตร
นางพวงเพ็ชร ชุนละเอียด
นายมิตติ ติยะไพรัช
นางสาวขัตติยา สวัสดิผล
นายณัฐวุฒิ ใสยเกื้อ
นายคณาพจน์ โจมฤทธิ์
นายพิชัย นริพทะพันธุ์
นายพงษ์ศักดิ์ ภูสิทธิ์สกุล
นางสาวชยิกา วงศ์นภาจันทร์
นายเจริญ จรรย์โกมล
นางสาวสุณีย์ เหลืองวิจิตร
นางสาวกฤษณา สีหลักษณ์
นายพงศกร อรรณนพพร
นายพฤฒิชัย วิริยะโรจน์
นายเชิดชัย ตันติศิรินทร์
นายนิคม ไวยรัชพานิช
นายสุชาติ ธาดาธํารงเวช
นางสาวอรุณี กาสยานนท์
นายพิชิต ชื่นบาน
นางวรรษมล เพ็งดิษฐ์
นายจุลพงษ์ โนนศรีชัย
นายเรืองไกร ลีกิจวัฒนะ
นายวีระกานต์ มุสิกพงศ์
นายประภัสร์ จงสงวน
นายประวัฒน์ อุตตะโมช
นายสุธรรม แสงประทุม
นายก่อแก้ว พิกุลทอง
นายอุเมสนัส ปานเดย์
นางสาวอุบลกาญจน์ อมรสิน
นายพยุงศักดิ์ ชาญด้วยวิทย์
นางสาวอนุตตมา อมรวิวัฒน์
นางสาวประกายดาว ศิริพรรณาภิรัตน์
นายวิม รุ่งวัฒนจินดา
นายวราวุธ ยันต์เจริญ
นางสาวเพ็ญชิสา หงษ์อุปถัมภ์ชัย
นายพงศ์เกษม สัตยาประเสริฐ
นายพายัพ ปั้นเกตุ
นายปิยวิชญ์ วงศ์สวัสดิ์
นายพชร ธรรมมล
นาวาตรีวุฒิพงศ์ พงศ์สุวรรณ
นายกมล วิจิตรโสภาพันธ์
นางสาวณหทัย เล็กบํารุง
นายนรวิชญ์ หล้าแหล่ง
พลตํารวจตรีสุรสิทธิ์ สังขพงศ์
นายต้น ณ ระนอง
นายสิทธิพงษ์ เจริญประเสริฐ
นายสิน กุมภะ
นางสาวสุทิษา ประทุมกุล
นายศิลปวิชญ์ น้อยสมมิตร
ว่าที่ร้อยโทโอภาส มีเชาว์
นายศักย์ มหาสุวีระชัย
นายเหวง โตจิราการ
นายวิภูแถลง พัฒนภูมิไท
พลตรีศรชัย มนตริวัต
นายสุวรรณ น้ําใจดี
นายสุรชัย เบ้าจรรยา
นายธนยศ รักกิจศิริ
นางมยุเรศ โคตรชมภู
นายกรวีร์ สาราคํา
พลตํารวจตรีคเชนทร์ คชพลายุกต์
พลอากาศเอกสมชาย เกียรอนันท์
นางเยาวนิตย์ เพียงเกษ
พลเอกโชติอนันต์ปรีชา ทรัพย์หิรัญ
นางสาวศรีญาดา ปาลิมาพันธ์
พลเอกไตรศักดิ์ อินทรรัสมี
