ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
211,กรุงเทพมหานคร,5,18,นาย,สมเกียรติ,มั่นคง,พลังสังคม
212,กรุงเทพมหานคร,5,19,นาย,ทนัฏฐ์,ปานโสภณ,พลังปวงชนไทย
213,กรุงเทพมหานคร,5,20,นาย,พนิต,นุชน้อย,ประชานิยม
214,กรุงเทพมหานคร,5,21,นาย,ณัฐสุรัช,หงษ์วิจิตปรีชา,ประชาธิปไตยใหม่
215,กรุงเทพมหานคร,5,22,นาย,พงศ์สัคค์,พุฒแก้ว,พลังชาติไทย
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
216,กรุงเทพมหานคร,5,23,นาย,กวิน,นิลพานิช,ครูไทยเพื่อประชาชน
217,กรุงเทพมหานคร,5,24,นาง,เอื้องฟ้า,งามธุระ,ชาติพันธุ์ไทย
218,กรุงเทพมหานคร,5,25,นางสาว,สุรีพร,สัมโย,พลังไทยรักไทย
219,กรุงเทพมหานคร,5,26,นาย,อนุรักษ์,รุ่งแจ้ง,พลังท้องถิ่นไท
220,กรุงเทพมหานคร,5,27,นาย,สุชาติ,สุวรรณปราโมทย์,มติประชา
221,กรุงเทพมหานคร,5,28,นางสาว,ประภัสสร,แก้วประเสริฐ,ภาคีเครือข่ายไทย
222,กรุงเทพมหานคร,5,29,นาย,ปฎิวัติ,ตรองจิตต์,เศรษฐกิจใหม่
223,กรุงเทพมหานคร,5,30,นาย,ภูเบศร์,มงคลวัฒน์,มหาชน
224,กรุงเทพมหานคร,5,31,นาย,มานพ,ศุขะพันธุ์,พลังไทสร้างชาติ
225,กรุงเทพมหานคร,5,32,นาย,ณภัทร,หลวงเมือง,ประชาธรรมไทย
226,กรุงเทพมหานคร,5,33,นาง,พิชญ์ดา,เดอเยซูซ์,พลังประชาธิปไตย
227,กรุงเทพมหานคร,6,1,นาย,อนุชาญ,กวางทอง,ภูมิใจไทย
228,กรุงเทพมหานคร,6,2,นาย,ภูวพัฒน์,ชนะสกล,เสรีรวมไทย
229,กรุงเทพมหานคร,6,3,นาย,ประพนธ์,เนตรรังษี,เพื่อไทย
230,กรุงเทพมหานคร,6,4,รตท.,รพีพจน์,เจิมเทียนชัย,ประชาชนปฏิรูป
231,กรุงเทพมหานคร,6,5,นาย,สังวน,เจิมแป้น,ประชานิยม
232,กรุงเทพมหานคร,6,6,นาย,ณัฏฐ์ปิยะ,กุลจิรารวีนิภา,ชาติพัฒนา
