ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
๓2,ยะลา,๓,๓,"๑
 
 
 
 
 
 
 
 ๒
 
 
 
 
 
 
 
 
 ๓","๑. อำเภอเมืองยะลา (ยกเว้นตำบลบุดี ตำบลเปาะเส้ง และตำบลบันนังสาเรง) ๒. อำเภอยะหา (เฉพาะตำบลยะหา ตำบลตาชี และตำบลบาโงยซิแน)
 ๑. อำเภอเมืองยะลา (เฉพาะตำบลบุดี ตำบลเปาะเส้ง และตำบลบันนังสาเรง)
 ๒. อำเภอรามัน
 ๓. อำเภอยะหา (ยกเว้นตำบลยะหา ตำบลตาชี และตำบลบาโงยซิแน)
 ๔. อำเภอกาบัง
 ๑. อำเภอกรงปินัง
 ๒. อำเภอบันนังสตา
 ๓. อำเภอธารโต
 ๔. อำเภอเบตง",,1
๓3,เลย,๓,๓,"๑
 
 
 
 
 
 2","๑. อำเภอเมืองเลย
 ๒. อำเภอปากชม
 ๓. อำเภอนาด้วง
 ๔. อำเภอเอราวัณ (เฉพาะตำบลเอราวัณ และตำบลผาอินทร์แปลง)
 ๑. อำเภอหนองหิน
 ๒. อำเภอภูหลวง
 ๓. อำเภอภูกระดึง",,1
,,,,,,,0
หนา ๑๘,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,๓,"๔. อำเภอผาขาว
 ๕. อำเภอวังสะพุง (เฉพาะตำบลวังสะพุง ตำบลหนองหญ้าปล้อง ตำบลผาน้อย ตำบลผาบิ้ง ตำบลโคกขมิ้น และตำบลศรีสงคราม) ๖. อำเภอเอราวัณ (ยกเว้นตำบลเอราวัณ และตำบลผาอินทร์แปลง)
 ๑. อำเภอนาแห้ว
 ๒. อำเภอด่านซ้าย
 ๓. อำเภอภูเรือ
 ๔. อำเภอท่าลี่
 ๕. อำเภอเชียงคาน
 ๖. อำเภอวังสะพุง
 (ยกเว้นตำบลวังสะพุง ตำบลหนองหญ้าปล้อง ตำบลผาน้อย ตำบลผาบิ้ง ตำบลโคกขมิ้น และตำบลศรีสงคราม)",,1
๓4,สมุทรสาคร,๓,๓,๑,อำเภอเมืองสมุทรสาคร (เฉพาะตำบลมหาชัย ตำบลท่าฉลอม ตำบลโกรกกราก ตำบลบางหญ้าแพรก ตำบลท่าทราย ตำบลคอกกระบือ ตำบลโคกขาม ตำบลพันท้ายนรสิงห์ และตำบลบางน้ำจืด),,1
,,,,,,,0
หนา ๑๙,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,"2
 
 
 
 
 
 
 
 
 
 3","๑. อำเภอเมืองสมุทรสาคร
 (เฉพาะตำบลนาดี)
 ๒. อำเภอกระทุ่มแบน (เฉพาะตำบลอ้อมน้อย ตำบลสวนหลวง ตำบลตลาดกระทุ่มแบน ตำบลดอนไก่ดี ตำบลท่าไม้ ตำบลแคราย และตำบลคลองมะเดื่อ) ๑. อำเภอเมืองสมุทรสาคร (เฉพาะตำบลนาโคก ตำบลกาหลง ตำบลบางโทรัด ตำบลบ้านบ่อ ตำบลชัยมงคล ตำบลบางกระเจ้า ตำบลบ้านเกาะ และตำบลท่าจีน) ๒. อำเภอกระทุ่มแบน (ยกเว้นตำบลอ้อมน้อย ตำบลสวนหลวง ตำบลตลาดกระทุ่มแบน ตำบลดอนไก่ดี ตำบลท่าไม้ ตำบลแคราย
 และตำบลคลองมะเดื่อ)
 ๓. อำเภอบ้านแพ้ว",,1
35,สระแก้ว,3,3,1,"๑. อำเภอเมืองสระแก้ว
 ๒. อำเภอเขาฉกรรจ์
 ๓. อำเภอวังน้ำเย็น",,1
,,,,,,,0
หนา ๒๐,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,"2
 
 
 
 
 
 
 3","(เฉพาะตำบลทุ่งมหาเจริญ)
 ๑. อำเภอวัฒนานคร (ยกเว้นตำบลช่องกุ่ม และตำบลแซร์ออ)
 ๒. อำเภอวังน้ำเย็น
 (ยกเว้นตำบลทุ่งมหาเจริญ)
 ๓. อำเภอคลองหาด
 ๔. อำเภอวังสมบูรณ์
 ๑. อำเภออรัญประเทศ
 ๒. อำเภอตาพระยา
 ๓. อำเภอโคกสูง
 ๔. อำเภอวัฒนานคร (เฉพาะตำบลช่องกุ่ม และตำบลแซร์ออ)",,1
36,สระบุรี,3,3,"1
 
 
 2
 
 
 
 3","๑. อำเภอเมืองสระบุรี
 ๒. อำเภอเฉลิมพระเกียรติ
 ๓. อำเภอพระพุทธบาท
 ๑. อำเภอแก่งคอย
 ๒. อำเภอวิหารแดง
 ๓. อำเภอมวกเหล็ก
 ๔. อำเภอวังม่วง
 ๑. อำเภอหนองแค
 ๒. อำเภอหนองแซง
 ๓. อำเภอเสาไห้
 ๔. อำเภอบ้านหมอ
 ๕. อำเภอหนองโดน
 ๖. อำเภอดอนพุด",,1
37,สุโขทัย,3,3,1,"๑. อำเภอเมืองสุโขทัย
 ๒. อำเภอศรีสำโรง
 ๓. อำเภอกงไกรลาศ
 (เฉพาะตำบลไกรกลาง",,1
,,,,,,,0
หนา ๒๑,,,,,,,0
,,,,,,,0
